,0,1,2
773,-3.256,-3.945,4.006
774,-3.245,-2.469,2.993
775,-3.438,-4.127,3.778
776,-3.569,-2.728,2.956
777,-3.5,-4.172,3.428
778,-5.422,-4.159,4.016
779,-3.535,-4.185,3.072
780,-5.655,-4.354,3.723
781,-4.146,-4.882,3.176
782,-4.93,-3.805,2.86
783,-5.152,-6.039,3.45
784,-6.1,-4.72,3.086
785,-5.25,-6.129,3.035
786,-6.279,-4.871,2.732
787,-6.76,-7.867,3.32
788,-7.761,-6.029,2.842
789,-6.599,-7.659,2.692
790,-7.761,-6.042,2.329
791,-7.214,-8.358,2.361
792,-7.768,-6.054,1.827
793,-7.355,-8.509,1.832
794,-0.0,-0.0,0.0
795,-7.375,-8.526,1.268
796,-4.942,-3.86,0.54
797,-4.78,-5.524,0.461
798,-4.959,-3.877,0.233
799,-3.755,-4.341,0.079
800,-4.966,-3.886,-0.074
801,-2.835,-3.28,-0.154
802,-4.979,-3.897,-0.383
803,-2.863,-3.315,-0.371
804,-4.985,-3.902,-0.696
805,-2.864,-3.323,-0.591
806,-3.105,-2.431,-0.629
807,-3.036,-3.53,-0.863
808,-3.135,-2.454,-0.837
809,-2.426,-2.83,-0.884
810,-0.447,-0.35,-0.149
811,-2.002,-2.343,-0.895
812,-0.391,-0.306,-0.157
813,-0.317,-0.373,-0.169
814,-0.355,-0.277,-0.167
815,-0.286,-0.338,-0.178
816,-0.0,-0.0,-0.0
817,-0.239,-0.283,-0.171
818,-0.0,-0.0,-0.0
819,-0.0,-0.0,-0.0
820,-0.0,-0.0,-0.0
821,-0.0,-0.0,-0.0
822,-0.0,-0.0,-0.0
823,-0.0,-0.0,-0.0
824,-0.0,-0.0,-0.0
825,-0.0,-0.0,-0.0
826,-0.0,-0.0,-0.0
827,-0.0,-0.0,-0.0
828,-0.0,-0.0,-0.0
829,-0.0,-0.0,-0.0
830,-0.0,-0.0,-0.0
831,-0.0,-0.0,-0.0
832,-3.162,-2.334,3.954
833,-1.927,-2.357,2.943
834,-3.267,-2.428,3.69
835,-2.165,-2.618,2.957
836,-3.294,-2.463,3.358
837,-3.283,-3.928,4.01
838,-3.288,-2.47,3.018
839,-3.481,-4.128,3.798
840,-4.849,-3.659,3.998
841,-3.546,-4.174,3.447
842,-5.453,-4.13,4.02
843,-3.575,-4.18,3.084
844,-5.729,-4.355,3.754
845,-4.198,-4.883,3.194
